fips,state,county,dem_votes,rep_votes,other_votes,total_votes,reporting_percent
01001,AL,Autauga County,7439,20484,267,28190,100
01003,AL,Baldwin County,24934,95798,1076,121808,100
01005,AL,Barbour County,4158,5606,68,9832,100
01007,AL,Bibb County,1619,7572,50,9241,100
01009,AL,Blount County,2576,25354,185,28115,100
01011,AL,Bullock County,2983,1101,22,4106,100
01013,AL,Butler County,3251,5172,44,8467,100
01015,AL,Calhoun County,13194,34912,424,48530,100
01017,AL,Chambers County,5405,8711,105,14221,100
01019,AL,Cherokee County,1553,11358,73,12984,100
01021,AL,Chilton County,2698,16920,110,19728,100
01023,AL,Choctaw County,2515,4103,28,6646,100
01025,AL,Clarke County,4927,6965,54,11946,100
01027,AL,Clay County,993,5734,30,6757,100
01029,AL,Cleburne County,605,6988,44,7637,100
01031,AL,Coffee County,4601,17495,174,22270,100
01033,AL,Colbert County,7137,19714,235,27086,100
01035,AL,Conecuh County,2580,3423,40,6043,100
01037,AL,Coosa County,1478,3758,28,5264,100
01039,AL,Covington County,2314,14677,81,17072,100
01041,AL,Crenshaw County,1457,5000,23,6480,100
01043,AL,Cullman County,4039,38704,309,43052,100
01045,AL,Dale County,4484,14476,143,19103,100
01047,AL,Dallas County,10236,5190,102,15528,100
01049,AL,DeKalb County,3758,25633,192,29583,100
01051,AL,Elmore County,9774,31374,343,41491,100
01053,AL,Escambia County,3964,10884,81,14929,100
01055,AL,Etowah County,10027,35653,343,46023,100
01057,AL,Fayette County,1142,7158,56,8356,100
01059,AL,Franklin County,1568,10417,92,12077,100
01061,AL,Geneva County,1391,10929,70,12390,100
01063,AL,Greene County,3133,885,17,4035,100
01065,AL,Hale County,3868,3369,53,7290,100
01067,AL,Henry County,2263,6989,49,9301,100
01069,AL,Houston County,11352,32469,374,44195,100
01071,AL,Jackson County,3276,20073,160,23509,100
01073,AL,Jefferson County,162112,131123,3506,296741,100
01075,AL,Lamar County,806,6033,36,6875,100
01077,AL,Lauderdale County,10326,32708,420,43454,100
01079,AL,Lawrence County,2983,13024,108,16115,100
01081,AL,Lee County,25798,46020,877,72695,100
01083,AL,Limestone County,14581,37887,628,53096,100
01085,AL,Lowndes County,3867,1758,27,5652,100
01087,AL,Macon County,6084,1682,54,7820,100
01089,AL,Madison County,87824,105430,3101,196355,100
01091,AL,Marengo County,4631,4995,47,9673,100
01093,AL,Marion County,1197,12245,81,13523,100
01095,AL,Marshall County,5553,34434,290,40277,100
01097,AL,Mobile County,72055,100759,1731,174545,100
01099,AL,Monroe County,3740,6007,52,9799,100
01101,AL,Montgomery County,57946,30477,952,89375,100
01103,AL,Morgan County,12392,40449,528,53369,100
